,stride,energy,E(kJ/mole),C-Cl1,C-Cl2
0,-4.85695,-955.7057998,-23.172149452136523,1.9587068,3.1075037
1,-4.83761,-955.7057995,-23.171361802108663,1.9588227,3.1052391
2,-4.81292,-955.705799,-23.170049051962735,1.9589932,3.1021598
3,-4.7693,-955.7057976,-23.166373352031712,1.9593706,3.0968086
4,-4.69106,-955.7057936,-23.155871352058227,1.9599616,3.0872642
5,-4.5956,-955.7057858,-23.13539245193084,1.9606227,3.0756843
6,-4.49718,-955.7057742,-23.104936651948037,1.9613643,3.0636892
7,-4.39738,-955.7057585,-23.063716302081957,1.9621729,3.0514895
8,-4.29757,-955.7057386,-23.011468852124324,1.9629264,3.0393263
9,-4.19784,-955.7057143,-22.94766920195707,1.9636946,3.0271487
10,-4.09813,-955.7056852,-22.871267151941026,1.964474,3.0149692
11,-3.99824,-955.705651,-22.781475052048336,1.9652559,3.0027533
12,-3.89832,-955.7056116,-22.67803035207072,1.9660136,2.9905535
13,-3.79838,-955.7055665,-22.559620302160738,1.9668529,2.9782889
14,-3.69845,-955.7055155,-22.42571980220032,1.9676093,2.9660763
15,-3.5985,-955.7054584,-22.275803752071397,1.9684706,2.9537909
16,-3.49854,-955.7053948,-22.108821952134804,1.9692473,2.9415549
17,-3.39858,-955.7053244,-21.923986752064195,1.9701146,2.9292563
18,-3.29861,-955.7052468,-21.720247952220404,1.9709333,2.9169877
19,-3.19863,-955.7051618,-21.49708045218688,1.9716981,2.9047495
20,-3.09865,-955.7050682,-21.251333652150663,1.9725264,2.8924491
21,-2.9987,-955.7049623,-20.973293202166133,1.9738544,2.8797808
22,-2.89876,-955.7048407,-20.654032402017037,1.9761489,2.8664638
23,-2.79888,-955.7047012,-20.287775152195536,1.9798657,2.8522815
24,-2.69903,-955.7045421,-19.870058102145777,1.9853163,2.837156
25,-2.59921,-955.7043613,-19.395367701971225,1.9926241,2.8211734
26,-2.49938,-955.7041564,-18.85740275204597,2.0017287,2.8045307
